Model,Fold,MSE,RMSE,MAE,R2
OLS,1,4786299856.859996,69183.08938505128,49652.62065668585,0.6342227941509008
OLS,2,5439604489.131404,73753.67441105157,50444.38887529565,0.5870805930844645
OLS,3,4872968437.849077,69806.65038410794,50084.68870278006,0.6462473047996629
OLS,4,4239994810.2230206,65115.24253370343,47950.78216489567,0.6693256431213859
OLS,5,5502786085.442994,74180.76627700063,50606.35619134472,0.5885054129992431
OLS,6,4274953557.499532,65383.12899746793,48178.01329605291,0.6812713872899094
OLS,7,4767307105.222859,69045.68853464248,50332.600125181554,0.6423643653694218
OLS,8,4513809550.916059,67184.8907933626,48993.51523910373,0.6590108138677329
OLS,9,4531130514.330449,67313.67256605785,49455.19365658638,0.6580525973544357
OLS,10,4464366523.040824,66815.91519272054,49326.8217966281,0.6750168278443547
WLS,1,4786535433.101932,69184.79192063767,49255.698510297196,0.6342047910123352
WLS,2,5503907996.607293,74188.32790006319,50111.49798625376,0.5821993252969653
WLS,3,4878815545.974113,69848.51856678216,49836.41224525792,0.6458228345235384
WLS,4,4226063474.10371,65008.18005531081,47660.72735077204,0.6704121386993063
WLS,5,5393811017.978823,73442.56952189801,50157.177423305344,0.5966544941525475
WLS,6,4266208110.4221387,65316.21628984749,47802.313474388364,0.6819234234294875
WLS,7,4767881581.965158,69049.84852963226,50007.2942900367,0.6423212690574414
WLS,8,4516729547.176645,67206.61832867835,48743.9309139928,0.6587902269915753
WLS,9,4526142266.893354,67276.61010257096,49117.171338860164,0.658429041654478
WLS,10,4464311494.362278,66815.50339825539,49067.53929235555,0.6750208336522159
Ridge,1,4793278301.963837,69233.50563104426,49634.40356329417,0.6336894894630225
Ridge,2,5428650420.624104,73679.37581592357,50437.750332963944,0.5879121144717977
Ridge,3,4880923370.045528,69863.60547556594,50106.63823487423,0.6456698172290942
Ridge,4,4239640801.761973,65112.524154435705,47853.68091229957,0.6693532520042799
Ridge,5,5447653526.895276,73808.22126901092,50612.24847829847,0.5926281880912831
Ridge,6,4270576846.844934,65349.650701782135,48103.25290609518,0.6815977026279385
Ridge,7,4775243080.514836,69103.13365191796,50360.87175307127,0.6417690213948644
Ridge,8,4520386067.395649,67233.81639767037,48954.915217389535,0.6585140004827938
Ridge,9,4528608413.566125,67294.93601725262,49458.732403017115,0.6582429308270301
Ridge,10,4475357833.88756,66898.11532388307,49323.03631276408,0.674216716328715
Lasso,1,4808644999.128729,69344.39414349748,49676.08123516945,0.6325151402328866
Lasso,2,5436714552.271715,73734.07999203431,50461.09477452741,0.5872999676762221
Lasso,3,4889242326.186954,69923.11725164256,50169.074322279856,0.6450659033737478
Lasso,4,4244334079.363764,65148.55393148618,47851.22956423613,0.668987226425927
Lasso,5,5374952939.931871,73314.07054537261,50548.63479844447,0.5980646883554598
Lasso,6,4262260913.496212,65285.99324124748,48051.08594917734,0.6822177154219904
Lasso,7,4776003445.770076,69108.63510278637,50333.316343156825,0.6417119800286157
Lasso,8,4524200689.943492,67262.17874811588,48931.99993371106,0.6582258303632267
Lasso,9,4524965273.698291,67267.86211630552,49436.181975598985,0.658517864910553
Lasso,10,4491097792.702636,67015.65334086235,49383.24982063785,0.6730709273978729
Lasso (14 features),1,4808605454.60142,69344.10901151893,49675.785324139164,0.6325181622931707
Lasso (14 features),2,5436766393.128592,73734.43153051763,50461.105541462966,0.5872960324460195
Lasso (14 features),3,4889199859.940469,69922.81358712955,50168.80429124069,0.6450689862070025
Lasso (14 features),4,4244340363.4190817,65148.60216013143,47851.041900356904,0.6689867363366595
Lasso (14 features),5,5375120571.540034,73315.21377954261,50547.78240371754,0.5980521529782348
Lasso (14 features),6,4262236639.990353,65285.80733965349,48051.28159450178,0.6822195251868788
Lasso (14 features),7,4776005963.934288,69108.65332166651,50333.214547902426,0.6417117911200272
Lasso (14 features),8,4524189782.257384,67262.09766471296,48932.07770213267,0.65822665436853
Lasso (14 features),9,4524991863.462474,67268.05975693422,49436.15581389812,0.6585158582809115
Lasso (14 features),10,4491056110.100483,67015.34234860315,49382.47701948054,0.6730739616792656
Elastic Net,1,4801993035.030687,69296.41430139577,49637.1635170468,0.6330234946849593
Elastic Net,2,5422234943.536105,73635.8264945543,50453.92652814353,0.5883991121937
Elastic Net,3,4890281003.106613,69930.54413563941,50115.944388094904,0.6449905007183729
Elastic Net,4,4243899153.5721183,65145.21589166865,47836.14824174164,0.6690211459972659
Elastic Net,5,5409406339.836968,73548.66647218676,50590.89616574141,0.5954882866301184
Elastic Net,6,4269702840.618715,65342.9632065972,48067.34425690515,0.6816628660942161
Elastic Net,7,4783350263.433476,69161.76879919626,50387.348880813806,0.6411608337022785
Elastic Net,8,4529518401.421857,67301.69686881495,48935.412888117615,0.6578241115736676
Elastic Net,9,4529483543.547836,67301.43790104217,49437.05971513913,0.6581768880539789
Elastic Net,10,4486783489.831419,66983.45683697893,49366.168543998494,0.673384986699566
Polynomial (deg=2),1,3740182889.376702,61157.03466794889,42483.76221145759,0.7141688386530944
Polynomial (deg=2),2,19156463934.18475,138406.87820402838,47530.42802276523,-0.4541637617417098
Polynomial (deg=2),3,3913174559.9416347,62555.37195110932,43656.097279990696,0.715923453019578
Polynomial (deg=2),4,40599607568.16107,201493.44299048808,47836.722347704635,-2.1663362157322124
Polynomial (deg=2),5,253309508372.76993,503298.627429849,62329.34213907374,-17.942312114759662
Polynomial (deg=2),6,3473229714.7048173,58934.11333603669,42040.01626411701,0.7410456806836431
Polynomial (deg=2),7,4539022865.8751955,67372.27074898986,45022.7887026287,0.65948987816171
Polynomial (deg=2),8,3761894382.92834,61334.28391143358,43402.617101823314,0.715813153062705
Polynomial (deg=2),9,15605515409.075977,124922.03732358826,46109.62894485748,-0.1776896393079037
Polynomial (deg=2),10,4492282878.978044,67024.4946193408,44155.02245617515,0.672984659145687
Gaussian RBF,1,5243241542.52108,72410.23092437339,52098.884693349995,0.5993025304784241
Gaussian RBF,2,5422343867.356663,73636.56610242403,52874.27296557806,0.588390843805902
Gaussian RBF,3,5383223855.455895,73370.45628491005,52877.41527938238,0.6092053597263103
Gaussian RBF,4,4605908239.539235,67866.84197411306,50437.50416477694,0.6407882997216605
Gaussian RBF,5,5093630972.705251,71369.67824437245,52033.484873207926,0.6191017530206473
Gaussian RBF,6,4514328284.642668,67188.75117638866,49624.79793036385,0.6634242753449522
Gaussian RBF,7,5111597122.674697,71495.43427852367,52418.185411455794,0.6165362875530243
Gaussian RBF,8,4819733402.472533,69424.29979821571,50861.12066216171,0.63590024086194
Gaussian RBF,9,5071204621.196056,71212.39092458598,52796.20735255573,0.6172952328303404
Gaussian RBF,10,4827255456.395688,69478.45318079331,51670.88672421152,0.6486003595518914
Cubic Spline,1,4094006179.720026,63984.42138302124,45125.313229924155,0.6871290587862683
Cubic Spline,2,4520706083.787656,67236.19623229482,46349.16654947582,0.6568340071990924
Cubic Spline,3,4319500909.86895,65722.91008369114,46036.62904455708,0.6864262290479921
Cubic Spline,4,3745641963.5525823,61201.650006781536,44461.26357577198,0.707879890699642
Cubic Spline,5,4343825233.574587,65907.70238427818,45926.371119658674,0.675171714339075
Cubic Spline,6,3671561412.495968,60593.41063594265,43499.26812557258,0.7262586225219201
Cubic Spline,7,4096936015.757906,64007.31220538718,46217.38464004988,0.6926545154955028
Cubic Spline,8,3967144754.7759686,62985.274110509105,45381.23166541864,0.7003078118514294
Cubic Spline,9,3989002214.923206,63158.54823318223,45679.89187617809,0.6989649840748513
Cubic Spline,10,3819712826.9649234,61803.825342489305,45090.69284054499,0.7219443374946845
Bayesian Ridge,1,4787113218.836045,69188.96746473419,49654.60294735805,0.6341606356401845
Bayesian Ridge,2,5438057490.564466,73743.18606193026,50436.61810999827,0.5871980254698586
Bayesian Ridge,3,4873499359.545107,69810.45308222191,50114.07143468668,0.6462087625880095
Bayesian Ridge,4,4238333300.910336,65102.48306255558,47902.22490418479,0.6694552231204215
Bayesian Ridge,5,5493754324.985758,74119.86457749203,50646.26407427895,0.5891808018807175
Bayesian Ridge,6,4274243687.813659,65377.700233440904,48168.805841440706,0.6813243131935807
Bayesian Ridge,7,4768662490.101173,69055.50296754904,50348.16838264288,0.6422626865976486
Bayesian Ridge,8,4512803851.997383,67177.40581473344,48987.4747830441,0.6590867879317479
Bayesian Ridge,9,4530848313.717438,67311.57637225144,49494.00107436649,0.6580738939748572
Bayesian Ridge,10,4466277476.105033,66830.21379664315,49296.28610773626,0.6748777201825079
