Model,Hyperparameters,Train_Size,Val_Size,Test_Size,CV_MSE_Mean,CV_RMSE_Mean,CV_MAE_Mean,CV_R2_Mean,Test_RMSE,Test_MAE,Test_R2
OLS,{},14448,2064,4128,4739322093.0516±415799254.0148,68778.2719±2978.4906,49502.4981±872.3794,0.6441±0.0314,66947.77570421158,49227.70613485462,0.656107340085742
WLS,{'sample_weight_method': 'adaptive'},14448,2064,4128,4739322093.0516±415799254.0148,68778.2719±2978.4906,49502.4981±872.3794,0.6441±0.0314,66911.84800127007,48878.10268887918,0.656476342877963
Ridge,{'alpha': 35.564803062231285},14448,2064,4128,4736031866.3500±404037756.3779,68757.6884±2900.3700,49484.5530±907.3404,0.6444±0.0305,66936.04344231881,49209.25219310696,0.656227860452
Lasso,"{'alpha': 232.99518105153672, 'max_iter': 10000}",14448,2064,4128,4733241701.2494±393075341.0456,68740.4538±2826.9607,49484.1949±913.8952,0.6446±0.0297,66974.10129045662,49201.89040825821,0.6558368320441204
Lasso (14 features),"{'alpha': 232.99518105153672, 'max_iter': 10000, 'n_features': 14}",14448,2064,4128,4733251300.2375±393113437.3472,68740.5131±2827.2187,49483.9726±913.7681,0.6446±0.0297,66974.20450023035,49201.71417470031,0.6558357713048382
Elastic Net,"{'alpha': 0.01778279410038923, 'l1_ratio': 0.7, 'max_iter': 10000}",14448,2064,4128,4736665301.3936±395193455.9456,68764.7991±2840.3710,49482.7413±918.9220,0.6443±0.0298,66965.73659151209,49216.24442459083,0.6559227948702804
Polynomial (deg=2),"{'degree': 2, 'alpha': 1.0}",14448,2064,4128,,,,,63093.56747183667,43999.81127392736,0.6945636157900001
Gaussian RBF,"{'kernel': 'rbf', 'n_centers': 100, 'alpha': 1.0}",14448,2064,4128,,,,,69713.71490753363,51432.77078248312,0.6271045763524074
Cubic Spline,"{'kernel': 'spline', 'n_knots': 10, 'alpha': 1.0}",14448,2064,4128,,,,,62198.37117940767,45310.778304149055,0.7031694307826206
Bayesian Ridge,{},14448,2064,4128,4738359351.4576±414143834.3094,68771.7353±2967.7886,49504.8518±891.0946,0.6442±0.0312,66929.59574577872,49221.85393401988,0.6562940858087845
KRR - RBF,"{'kernel': 'rbf', 'alpha': 0.1, 'gamma': 0.01}",14448,2064,4128,,,,,60088.152455526215,43419.41428494471,0.7229690424579354
KRR - Polynomial,"{'kernel': 'polynomial', 'alpha': 10.0, 'degree': 2}",14448,2064,4128,,,,,64024.2198458096,46692.21205726891,0.6854865723131383
