Model,Training_Time_sec,Testing_Time_sec,Total_Time_sec,Memory_Train_MB,Memory_Test_MB,Total_Memory_MB
OLS,0.006294,0.000976,0.00727,1.76,0.5,2.27
WLS,0.006486,0.000932,0.007418,1.76,0.5,2.27
Ridge,0.003658,0.000651,0.004309,1.76,0.5,2.27
Lasso,1.482587,0.000741,1.483328,1.76,0.5,2.27
Lasso (14 features),1.094518,0.000415,1.094933,1.54,0.44,1.98
Elastic Net,9.251927,0.000985,9.252912,1.76,0.5,2.27
Polynomial (deg=2),0.042806,0.003483,0.046289,16.75,4.79,21.54
Gaussian RBF,0.005737,0.001068,0.006805,2.2,0.63,2.83
Cubic Spline,0.027297,0.003014,0.030311,10.58,3.02,13.61
Bayesian Ridge,0.022233,0.000738,0.022972,1.76,0.5,2.27
KRR - RBF,0.714945,0.297979,1.012924,0.37,0.5,0.87
KRR - Polynomial,0.585166,0.108912,0.694078,0.37,0.5,0.87
