corruption_rate,imputer,model,f1,clean_f1,f1_drop_from_clean
0.0,knn,GNB,0.6666666666666666,0.6666666666666666,0.0
0.0,knn,L2-LR,0.47619047619047616,0.47619047619047616,0.0
0.0,knn,LDA,0.631578947368421,0.631578947368421,0.0
0.0,knn,LR-Newton,0.631578947368421,0.631578947368421,0.0
0.0,mean,GNB,0.6666666666666666,0.6666666666666666,0.0
0.0,mean,L2-LR,0.47619047619047616,0.47619047619047616,0.0
0.0,mean,LDA,0.631578947368421,0.631578947368421,0.0
0.0,mean,LR-Newton,0.631578947368421,0.631578947368421,0.0
0.0,median,GNB,0.6666666666666666,0.6666666666666666,0.0
0.0,median,L2-LR,0.47619047619047616,0.47619047619047616,0.0
0.0,median,LDA,0.631578947368421,0.631578947368421,0.0
0.0,median,LR-Newton,0.631578947368421,0.631578947368421,0.0
0.1,knn,GNB,0.7017543859649122,0.6666666666666666,-0.03508771929824561
0.1,knn,L2-LR,0.5424430641821947,0.47619047619047616,-0.06625258799171851
0.1,knn,LDA,0.7142857142857142,0.631578947368421,-0.08270676691729317
0.1,knn,LR-Newton,0.6657894736842105,0.631578947368421,-0.03421052631578947
0.1,mean,GNB,0.6625386996904025,0.6666666666666666,0.0041279669762641635
0.1,mean,L2-LR,0.5079365079365079,0.47619047619047616,-0.031746031746031744
0.1,mean,LDA,0.5777777777777777,0.631578947368421,0.053801169590643294
0.1,mean,LR-Newton,0.5777777777777777,0.631578947368421,0.053801169590643294
0.1,median,GNB,0.6625386996904025,0.6666666666666666,0.0041279669762641635
0.1,median,L2-LR,0.5079365079365079,0.47619047619047616,-0.031746031746031744
0.1,median,LDA,0.5777777777777777,0.631578947368421,0.053801169590643294
0.1,median,LR-Newton,0.5777777777777777,0.631578947368421,0.053801169590643294
