noise_sigma,model,f1,clean_f1,f1_drop_from_clean
0.0,GNB,0.6666666666666666,0.6666666666666666,0.0
0.0,L2-LR,0.47619047619047616,0.47619047619047616,0.0
0.0,LDA,0.631578947368421,0.631578947368421,0.0
0.0,LR-Newton,0.631578947368421,0.631578947368421,0.0
0.1,GNB,0.6491228070175439,0.6666666666666666,0.01754385964912275
0.1,L2-LR,0.47619047619047616,0.47619047619047616,0.0
0.1,LDA,0.6333333333333333,0.631578947368421,-0.0017543859649122862
0.1,LR-Newton,0.6491228070175439,0.631578947368421,-0.01754385964912286
0.5,GNB,0.48000000000000004,0.6666666666666666,0.1866666666666666
0.5,L2-LR,0.5416666666666667,0.47619047619047616,-0.06547619047619058
0.5,LDA,0.5079365079365079,0.631578947368421,0.12364243943191311
0.5,LR-Newton,0.4603174603174603,0.631578947368421,0.17126148705096073
