,Accuracy,Precision,Recall,F1,AUC,AP
LR-GD,0.8229±0.0029,0.7283±0.0051,0.4221±0.0144,0.5344±0.0125,0.8447±0.0044,0.6753±0.0095
LR-Newton,0.8272±0.0027,0.7283±0.0079,0.4507±0.0098,0.5568±0.0088,0.8477±0.0039,0.6873±0.0089
LDA,0.8135±0.0032,0.7069±0.0081,0.3851±0.0148,0.4985±0.0136,0.8359±0.0040,0.6422±0.0096
QDA,0.8038±0.0029,0.7054±0.0126,0.3185±0.0107,0.4387±0.0114,0.8576±0.0084,0.6819±0.0092
GNB,0.7992±0.0038,0.6785±0.0180,0.3163±0.0094,0.4314±0.0113,0.8337±0.0086,0.6575±0.0111
Probit,0.8232±0.0031,0.7309±0.0065,0.4207±0.0155,0.5338±0.0132,0.8457±0.0038,0.6755±0.0094
Laplace,0.8213±0.0033,0.7220±0.0064,0.4190±0.0155,0.5302±0.0138,0.8428±0.0050,0.6702±0.0095
L2(λ=5.0),0.8231±0.0030,0.7290±0.0051,0.4221±0.0144,0.5345±0.0126,0.8447±0.0044,0.6752±0.0095
L1(λ=0.001),0.8229±0.0029,0.7283±0.0051,0.4221±0.0144,0.5344±0.0125,0.8447±0.0044,0.6753±0.0095
LR-Weighted,0.7620±0.0027,0.5038±0.0035,0.7710±0.0130,0.6094±0.0064,0.8443±0.0039,0.6666±0.0102
